Store,Sub_store,Store_url,Brand,url,rpc
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,NAN HA,https://item.jd.com/14445404726.html,14445404726
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,NAN HA,https://item.jd.com/13638853955.html,13638853955
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,NAN HA,https://item.jd.com/12082373228.html,12082373228
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,NAN,https://item.jd.com/14441834226.html,14441834226
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,NAN,https://item.jd.com/13639679598.html,13639679598
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,NAN,https://item.jd.com/12423814698.html,12423814698
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,MOM,https://item.jd.com/13924713473.html,13924713473
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,MOM,https://item.jd.com/12298574507.html,12298574507
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,NAN,https://item.jd.com/13741836484.html,13741836484
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,NAN,https://item.jd.com/13741836486.html,13741836486
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,NAN,https://item.jd.com/13741836485.html,13741836485
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,Gerber,https://item.jd.com/13674904462.html,13674904462
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,Gerber,https://item.jd.com/13674904461.html,13674904461
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,Gerber,https://item.jd.com/13674728744.html,13674728744
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,Gerber,https://item.jd.com/13674728743.html,13674728743
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,Gerber,https://item.jd.com/13674506362.html,13674506362
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,Gerber,https://item.jd.com/13674506361.html,13674506361
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,Gerber,https://item.jd.com/13674411005.html,13674411005
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,Gerber,https://item.jd.com/13674411004.html,13674411004
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,MOM,https://item.jd.com/13516246556.html,13516246556
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,MOM,https://item.jd.com/13516246557.html,13516246557
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,NAN,https://item.jd.com/12656575216.html,12656575216
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,NAN,https://item.jd.com/12656575217.html,12656575217
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,NAN,https://item.jd.com/12656575218.html,12656575218
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,NAN,https://item.jd.com/12424200273.html,12424200273
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,NAN,https://item.jd.com/12539168859.html,12539168859
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,NAN HA,https://item.jd.com/12538674481.html,12538674481
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,NAN,https://item.jd.com/12400682887.html,12400682887
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,NAN,https://item.jd.com/13467926194.html,13467926194
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,NAN,https://item.jd.com/12170684578.html,12170684578
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,Gerber,https://item.jd.com/12301482752.html,12301482752
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,Gerber,https://item.jd.com/12301180135.html,12301180135
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,Gerber,https://item.jd.com/12301067262.html,12301067262
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,Gerber,https://item.jd.com/12300597399.html,12300597399
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,Gerber,https://item.jd.com/12300109800.html,12300109800
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,Gerber,https://item.jd.com/12299611125.html,12299611125
JD,雀巢官方专卖店,https://mall.jd.com/index-666458.html,NAN,https://item.jd.com/12085074541.html,12085074541
